"Age","L_O_S","Dropped_Calls","Peak_calls_Sum","Peak_mins_Sum","OffPeak_calls_Sum","OffPeak_mins_Sum","Weekend_calls_Sum","Weekend_mins_Sum","International_mins_Sum","Nat_call_cost_Sum","AvePeak","AveOffPeak","AveWeekend","National_calls","National_mins","AveNational","All_calls_mins","Mins_charge","call_cost_per_min","actual call cost","Total_call_cost","Total_Cost","average_cost_min","group"
56,24.466667,0,377,588.599999,70,208.8,22,42,258.015017,28.75709,1.561273,2.982857,1.909091,469,839.399999,1.789765,1097.415016,239.399999,12.012152,28.757091,106.161596,211.161596,0.192417,1
30,48.733333,0,219,555,66,208.8,13,42.600001,206.095286,24.525357,2.534247,3.163636,3.276923,298,806.400001,2.70604,1012.495287,206.400001,11.88244,24.525357,86.353943,191.353943,0.188992,1
59,28.3,9,227,576.6,54,113.100001,28,78.6,228.809069,21.045714,2.540088,2.094444,2.807143,309,768.300001,2.486408,997.10907,168.300001,12.504881,21.045715,89.688435,194.688435,0.195253,1
53,11.366667,0,199,507.600001,168,302.700001,0,0,244.939119,24.037431,2.550754,1.801786,0,367,810.300002,2.207902,1055.239121,210.300002,11.264347,23.688921,97.170657,202.170657,0.191588,1
39,12.5,1,262,669.6,119,221.7,0,0,204.735712,36.575403,2.555725,1.863025,0,381,891.3,2.33937,1096.035712,291.3,12.512622,36.449268,97.869982,202.869982,0.185094,1
37,14,2,223,587.400001,119,235.200001,10,18.599999,275.427217,28.902709,2.634081,1.976471,1.86,352,841.200001,2.389773,1116.627218,241.200001,11.982882,28.902711,111.530876,216.530876,0.193915,1
46,12,0,210,557.399999,92,145.8,41,72.600001,245.700621,21.42095,2.654286,1.584783,1.770732,343,775.8,2.261808,1021.500621,175.8,12.184841,21.420951,95.131138,200.131138,0.195919,1
30,11.666667,1,137,365.4,172,337.8,6,10.8,233.016942,11.534118,2.667153,1.963953,1.8,315,714,2.266667,947.016942,114,10.117647,11.534118,81.4392,186.4392,0.19687,2
36,23.566667,2,206,553.2,39,104.7,12,93.5,207.786512,18.716456,2.685437,2.684615,7.791667,257,751.4,2.923735,959.186512,151.4,12.362257,18.716457,81.052411,186.052411,0.193969,1
51,36.166667,7,197,535.199999,53,136.500001,6,73.800001,238.942693,17.720552,2.716751,2.575472,12.3,256,745.500001,2.912109,984.442694,145.500001,12.179074,17.720553,89.403361,194.403361,0.197476,1
35,26.933333,9,258,706.2,20,37.500001,16,84,212.397828,30.812539,2.737209,1.875,5.25,294,827.700001,2.815306,1040.097829,227.700001,13.532077,30.812539,94.531887,199.531887,0.19184,1
38,57.066667,0,168,463.2,48,204.6,40,81.5,237.956888,16.694383,2.757143,4.2625,2.0375,256,749.3,2.926953,987.256888,149.3,11.18177,16.694382,88.081448,193.081448,0.195574,2
30,25.133333,0,214,601.8,47,183.6,8,47.4,229.574953,28.462651,2.81215,3.906383,5.925,269,832.8,3.095911,1062.374953,232.8,12.226225,28.462651,97.335137,202.335137,0.190455,1
33,37.1,2,227,442.8,57,162.9,29,103.5,212.57321,12.278072,1.950661,2.857895,3.568966,313,709.2,2.265815,921.77321,109.2,11.243655,12.278071,76.050034,181.050034,0.196415,2
30,42.9,0,154,438,47,214.2,43,66.6,210.144406,13.179065,2.844156,4.557447,1.548837,244,718.8,2.945902,928.944406,118.8,11.093489,13.179065,76.222387,181.222387,0.195084,2
29,20.366667,0,336,570,58,218.699999,2,29,198.582289,26.06037,1.696429,3.77069,14.5,396,817.699999,2.064899,1016.282288,217.699999,11.970772,26.06037,85.635057,190.635057,0.187581,1
28,31.366667,0,227,360.600001,90,244.499999,10,70.2,181.009129,7.785906,1.588546,2.716667,7.02,327,675.3,2.065138,856.309129,75.3,10.339849,7.785906,62.088645,167.088645,0.195127,2
43,21.233333,7,346,591,49,107.7,30,91.200001,248.177386,23.703241,1.708092,2.197959,3.04,425,789.900001,1.858588,1038.077387,189.900001,12.48196,23.703242,98.156457,203.156457,0.195705,1
43,32.533333,2,291,583.8,85,132.6,17,81,228.922951,24.322235,2.006186,1.56,4.764706,393,797.4,2.029008,1026.322951,197.4,12.321294,24.322235,92.99912,197.99912,0.192921,1
29,26.066667,0,271,545.4,55,270.6,0,0,228.925125,25.288567,2.012546,4.92,0,326,816,2.503067,1044.925125,216,11.683824,25.237059,93.914596,198.914596,0.190363,1
30,56.9,7,116,692.4,10,39,10,73.500001,243.260003,27.871134,5.968966,3.9,7.35,136,804.900001,5.918382,1048.160004,204.900001,13.602311,27.871135,100.849136,205.849136,0.196391,1
33,29.533333,2,150,587.4,147,247.200001,0,0,198.164869,29.365967,3.916,1.681633,0,297,834.600001,2.810101,1032.76487,234.600001,12.038102,28.241388,87.690848,192.690848,0.186578,1
26,53.533333,0,190,754.2,29,78.599999,25,48,185.830872,38.083979,3.969474,2.710345,1.92,244,880.799999,3.609836,1066.630871,280.799999,13.56267,38.083978,93.83324,198.83324,0.186412,1
46,11.166667,2,219,676.8,53,146.4,26,40.2,237.871456,33.817338,3.090411,2.762264,1.546154,298,863.4,2.897315,1101.271456,263.4,12.838777,33.817338,105.178775,210.178775,0.190851,1
35,34.733333,0,88,591,129,202.5,13,33,213.821026,27.521188,6.715909,1.569767,2.538462,230,826.5,3.593478,1040.321026,226.5,12.150635,27.521189,91.667497,196.667497,0.189045,1
40,16.133333,1,59,394.2,203,311.7,23,36,217.734198,14.634693,6.681356,1.535468,1.565217,285,741.9,2.603158,959.634198,141.9,10.313385,14.634693,79.954952,184.954952,0.192735,2
27,53.433333,0,118,482.4,54,270.9,6,29.4,202.726156,20.395314,4.088136,5.016667,4.9,178,782.7,4.397191,985.426156,182.7,11.163281,20.395314,81.213161,186.213161,0.188967,1
30,56.433333,0,97,653.4,36,186.899998,0,0,188.396344,31.243691,6.736082,5.191667,0,133,840.299998,6.318045,1028.696342,240.299998,12.775794,30.700234,87.219137,192.219137,0.186857,1
30,52.866667,8,214,721.799999,80,139.799999,13,26,234.955246,37.767751,3.372897,1.7475,2,307,887.599998,2.891205,1122.555244,287.599998,13.132041,37.767751,108.254325,213.254325,0.189972,1
45,17.2,0,129,525,105,191.7,21,51.500001,206.003121,19.905053,4.069767,1.825714,2.452381,255,768.200001,3.012549,974.203122,168.200001,11.834158,19.905053,81.70599,186.70599,0.19165,1
35,26.433333,9,47,368.399999,108,184.5,5,88.8,183.771349,4.478997,7.838298,1.708333,17.76,160,641.699999,4.010625,825.471348,41.699999,10.741,4.478997,59.610402,164.610402,0.199414,2
32,52.966667,1,139,475.2,93,290.1,3,6.6,246.611061,19.177573,3.418705,3.119355,2.2,235,771.9,3.284681,1018.511061,171.9,11.156238,19.177573,93.160891,198.160891,0.194559,1
28,28.8,1,52,648.6,89,159.3,12,21,233.600214,29.356031,12.473077,1.789888,1.75,153,828.9,5.417647,1062.500214,228.9,12.824828,29.356031,99.436096,204.436096,0.19241,1
28,31.666667,1,56,489,81,165.300001,4,81,214.131244,15.762919,8.732143,2.040741,20.25,141,735.300001,5.214894,949.431245,135.300001,11.650347,15.762919,80.002293,185.002293,0.194856,1
36,18.866667,11,122,420.6,133,312,8,14.4,185.828346,15.626867,3.447541,2.345865,1.8,263,747,2.840304,932.828346,147,10.630522,15.626867,71.375371,176.375371,0.189076,2
45,41.333333,1,44,352.8,80,232.8,44,69.6,207.796199,5.732308,8.018182,2.91,1.581818,168,655.2,3.9,862.996199,55.2,10.384615,5.732308,68.071167,173.071167,0.200547,2
37,50.5,0,79,661.199999,46,193.199999,0,0,213.609029,33.160315,8.36962,4.2,0,125,854.399998,6.8352,1068.009027,254.399998,12.738764,32.407415,96.490124,201.490124,0.18866,1
34,9.966667,1,119,531.6,25,163.199999,3,67.2,186.766626,19.401733,4.467227,6.528,22.4,147,761.999999,5.183673,948.766625,161.999999,11.976378,19.401732,75.43172,180.43172,0.190175,1
30,26.366667,1,143,504,154,237.300001,24,39,183.03199,20.660675,3.524476,1.540909,1.625,321,780.300001,2.430841,963.331991,180.300001,11.459054,20.660675,75.570272,180.570272,0.187443,1
64,39.666667,2,148,444.6,18,290.4,5,13.5,188.990826,16.24572,3.004054,16.133333,2.7,171,748.5,4.377193,937.490826,148.5,10.93988,16.245721,72.942969,177.942969,0.189808,2
50,26.466667,0,163,574.2,19,246,1,4,181.89951,26.829466,3.522699,12.947368,4,183,824.2,4.503825,1006.09951,224.2,11.966756,26.829466,81.399319,186.399319,0.185269,1
40,37.333333,7,114,515.4,38,82.799999,20,106,194.187894,12.836339,4.521053,2.178947,5.3,172,704.199999,4.094186,898.387893,104.199999,12.318943,12.836339,71.092707,176.092707,0.19601,1
29,39.6,0,122,557.400001,99,187.2,19,39,236.230757,22.240061,4.568852,1.890909,2.052632,240,783.600001,3.265,1019.830758,183.600001,12.113323,22.240061,93.109288,198.109288,0.194257,1
42,50.266667,2,84,434.4,47,186,39,79.8,202.915254,11.22635,5.171429,3.957447,2.046154,170,700.2,4.118824,903.115254,100.2,11.203942,11.22635,72.100926,177.100926,0.1961,2
43,43.433333,2,136,527.4,42,118.2,11,85.2,240.420644,15.979509,3.877941,2.814286,7.745455,189,730.8,3.866667,971.220644,130.8,12.216749,15.979507,88.105701,193.105701,0.198828,1
34,46.2,1,41,633.599999,83,179.099999,13,27.599999,223.670316,30.134016,15.453659,2.157831,2.123077,137,840.299997,6.133577,1063.970313,240.299997,12.540164,30.134014,97.235109,202.235109,0.190076,1
36,15.566667,2,92,444.599999,134,332.099999,0,0,256.501173,18.999362,4.832609,2.478358,0,226,776.699998,3.436726,1033.201171,176.699998,10.724218,18.949693,95.900045,200.900045,0.194444,1
27,25.533333,11,96,466.2,88,161.1,17,91.2,225.643033,13.613894,4.85625,1.830682,5.364706,201,718.5,3.574627,944.143033,118.5,11.488518,13.613894,81.306803,186.306803,0.197329,1
39,30.766667,3,33,546.6,62,228.899999,1,11.4,223.349005,22.327531,16.563636,3.691935,11.4,96,786.899999,8.196875,1010.249004,186.899999,11.946245,22.327531,89.332233,194.332233,0.192361,1
37,53.833333,2,26,448.2,31,191.4,31,70.8,212.982764,12.485271,17.238462,6.174194,2.283871,88,710.4,8.072727,923.382764,110.4,11.309122,12.48527,76.380099,181.380099,0.19643,2
48,12.233333,2,40,704.400001,96,167.1,0,0,287.762407,35.734876,17.61,1.740625,0,136,871.500001,6.408088,1159.262408,271.500001,13.082616,35.519303,121.848025,226.848025,0.195683,1
33,32.2,1,33,584.4,31,133.8,24,54.500001,207.645646,21.696457,17.709091,4.316129,2.270833,88,772.700001,8.780682,980.345647,172.700001,12.56309,21.696457,83.990151,188.990151,0.192779,1
27,51.5,0,107,529.8,27,183,6,56.4,180.118258,20.113947,4.951402,6.777778,9.4,140,769.2,5.494286,949.318258,169.2,11.887676,20.113947,74.149424,179.149424,0.188714,1
52,55.633333,0,76,383.4,132,245.1,22,56.4,191.659548,8.997615,5.044737,1.856818,2.563636,230,684.9,2.977826,876.559548,84.9,10.597898,8.997615,66.495479,171.495479,0.195646,2
28,33.733333,2,122,621.6,76,120.6,34,56.4,189.801728,25.388272,5.095082,1.586842,1.658824,232,798.6,3.442241,988.401728,198.6,12.783621,25.388272,82.32879,187.32879,0.189527,1
27,44.833333,0,75,386.399999,47,92.100001,6,142.2,195.673281,2.323624,5.152,1.959574,23.7,128,620.7,4.849219,816.373281,20.7,11.22523,2.323623,61.025607,166.025607,0.20337,2
31,17.033333,0,103,536.4,55,166.500001,6,71,235.761631,20.748233,5.207767,3.027273,11.833333,164,773.900001,4.718902,1009.661632,173.900001,11.931128,20.748232,91.476721,196.476721,0.194597,1
36,14.533333,2,13,496.8,123,213.6,19,40,199.363145,17.477187,38.215385,1.736585,2.105263,155,750.4,4.84129,949.763145,150.4,11.620469,17.477186,77.286129,182.286129,0.191928,1
26,10.533333,2,100,538.2,71,222.6,2,25.8,233.752496,22.097367,5.382,3.135211,12.9,173,786.6,4.546821,1020.352496,186.6,11.842105,22.097368,92.223117,197.223117,0.193289,1
35,26.6,7,126,409.800001,28,236.699999,20,50,189.476209,10.502776,3.252381,8.453571,2.5,174,696.5,4.002874,885.976209,96.5,10.883704,10.502775,67.345637,172.345637,0.194526,2
55,18.066667,1,162,528.599999,50,199.2,21,34.499999,216.865489,19.369333,3.262963,3.984,1.642857,233,762.299998,3.271674,979.165487,162.299998,11.934278,19.369333,84.428979,189.428979,0.19346,1
48,19.566667,8,109,603,40,155.400001,14,43,182.274966,25.224004,5.53211,3.885,3.071429,163,801.400001,4.916564,983.674967,201.400001,12.524332,25.224006,79.906495,184.906495,0.187975,1
35,29.466667,0,100,565.199999,125,273.599999,1,3,277.149406,28.324897,5.652,2.1888,3,226,841.799998,3.724779,1118.949404,241.799998,11.714184,28.324896,111.469718,216.469718,0.193458,1
38,26.3,6,112,428.400001,74,204,19,88.2,232.3841,13.199725,3.825,2.756757,4.642105,205,720.600001,3.515122,952.984101,120.600001,10.945046,13.199725,82.914955,187.914955,0.197186,1
26,18.2,8,131,744,18,71.7,21,51,216.888984,36.229289,5.679389,3.983333,2.428571,170,866.7,5.098235,1083.588984,266.7,13.584285,36.229289,101.295984,206.295984,0.190382,1
45,9.9,0,104,588.6,48,175.8,7,44,237.665957,25.593706,5.659615,3.6625,6.285714,159,808.4,5.084277,1046.065957,208.4,12.281049,25.593706,96.893493,201.893493,0.193003,1
60,57.533333,1,543,933.6,132,465,11,46.8,181.071782,20.195329,1.719337,3.522727,4.254545,686,1445.4,2.106997,1626.471782,245.4,8.229556,20.19533,74.516865,224.516865,0.138039,3
42,38.1,0,622,1267.800001,162,351,0,0,262.364652,37.41889,2.038264,2.166667,0,784,1618.800001,2.064796,1881.164653,418.800001,8.915864,37.339637,116.049032,266.049032,0.141428,3
39,20.8,3,523,904.800001,50,549.3,1,4.8,351.39156,20.973403,1.730019,10.986,4.8,574,1458.900001,2.541638,1810.291561,258.900001,8.100966,20.973402,126.39087,276.39087,0.152678,3
40,39.133333,1,556,1150.800001,42,362.7,13,21.6,323.874852,29.31552,2.069784,8.635714,1.661538,611,1535.100001,2.512439,1858.974853,335.100001,8.74829,29.31552,126.477976,276.477976,0.148726,3
34,55.7,1,476,984.6,68,401.7,16,51.6,228.021705,20.040084,2.068487,5.907353,3.225,560,1437.9,2.567679,1665.921705,237.9,8.423743,20.040084,88.446596,238.446596,0.143132,3
46,48.3,1,529,916.800001,53,451.5,21,45.599999,433.579313,17.629844,1.733081,8.518868,2.171429,603,1413.9,2.344776,1847.479313,213.9,8.242096,17.629844,147.703638,297.703638,0.16114,3
40,28.566667,9,606,1106.399999,261,449.399999,0,0,303.776431,31.550998,1.825743,1.721839,0,867,1555.799998,1.794464,1859.576429,355.799998,8.555727,30.441276,121.574206,271.574206,0.146041,3
32,49.7,1,819,1341.599999,126,309,7,25.2,242.271432,42.835628,1.638095,2.452381,3.6,952,1675.799999,1.760294,1918.071431,475.799999,9.002864,42.835628,115.517058,265.517058,0.138429,3
48,18.966667,9,407,940.8,181,525.9,0,0,231.938631,21.888603,2.311548,2.905525,0,588,1466.7,2.494388,1698.638631,266.7,8.2072,21.888602,91.470191,241.470191,0.142155,3
36,23.466667,0,451,695.4,383,673.2,0,0,219.78423,13.068997,1.541907,1.757702,0,834,1368.6,1.641007,1588.38423,168.6,7.540552,12.713371,78.64864,228.64864,0.14395,4
31,54.333333,0,770,1235.4,41,280.5,39,76.800001,234.476431,34.865161,1.604416,6.841463,1.969231,850,1592.700001,1.873765,1827.176432,392.700001,8.87832,34.865162,105.208091,255.208091,0.139673,3
29,46.633333,1,389,818.4,269,443.7,6,96.6,354.487721,12.714572,2.103856,1.649442,16.1,664,1358.7,2.046235,1713.187721,158.7,8.011702,12.714572,119.060888,269.060888,0.157053,4
30,12.2,1,559,1269.6,133,235.799999,42,66.499999,256.83849,33.613901,2.271199,1.772932,1.583333,734,1571.899998,2.141553,1828.738488,371.899998,9.038425,33.613902,110.665449,260.665449,0.142538,3
35,20.333333,10,388,698.399999,99,532.8,30,72.600001,333.835191,7.970101,1.8,5.381818,2.42,517,1303.8,2.521857,1637.635191,103.8,7.678325,7.970101,108.120659,258.120659,0.157618,4
37,40.366667,10,388,681.600001,317,489.899999,10,103.2,258.639965,5.732156,1.756701,1.545426,10.32,715,1274.7,1.782797,1533.339965,74.7,7.67357,5.732157,83.324146,233.324146,0.152167,4
57,28.833333,1,553,1182,53,300.899999,30,66,309.253247,30.757667,2.137432,5.677358,2.2,636,1548.899999,2.435377,1858.153246,348.899999,8.815611,30.757667,123.533641,273.533641,0.147207,3
41,27.4,9,682,1198.800001,43,251.699998,20,82.800001,349.931844,29.694416,1.757771,5.853488,4.14,745,1533.3,2.058121,1883.231844,333.3,8.909215,29.694415,134.673968,284.673968,0.151162,3
34,47.666667,4,665,1169.4,66,298.499999,6,66,382.092249,29.422774,1.758496,4.522727,11,737,1533.899999,2.081275,1915.992248,333.899999,8.811852,29.422774,144.050449,294.050449,0.153472,3
33,37.733333,0,406,873.6,144,418.799999,46,89.499999,265.889336,14.844613,2.151724,2.908333,1.945652,596,1381.899998,2.318624,1647.789334,181.899998,8.160865,14.844614,94.611415,244.611415,0.148448,4
45,40.566667,2,450,970.8,286,459.3,10,33.599999,398.436679,21.929961,2.157333,1.605944,3.36,746,1463.699999,1.962064,1862.136678,263.699999,8.316253,21.92996,141.460964,291.460964,0.15652,3
62,39.266667,6,513,1137,174,309.900002,19,67.5,306.650402,27.522456,2.216374,1.781034,3.552632,706,1514.400002,2.145042,1821.050404,314.400002,8.753962,27.522457,119.517577,269.517577,0.148001,3
31,34.433333,4,665,1438.800002,103,238.499999,7,15.6,426.251524,45.590849,2.163609,2.315534,2.228571,775,1692.900001,2.184387,2119.151525,492.900001,9.249513,45.590848,173.466305,323.466305,0.15264,3
31,46.466667,0,657,1059.6,89,454.2,8,13.8,312.015263,27.741775,1.612785,5.103371,1.725,754,1527.6,2.025995,1839.615263,327.6,8.468185,27.741775,121.346354,271.346354,0.147502,3
28,29.366667,0,318,691.199999,104,550.199999,25,44.399999,247.02359,6.596149,2.173585,5.290385,1.776,447,1285.799997,2.87651,1532.823587,85.799997,7.687821,6.59615,80.703227,230.703227,0.150509,4
44,45.433333,1,553,930,291,494.399999,12,29,247.561476,20.777267,1.681736,1.698969,2.416667,856,1453.399999,1.697897,1700.961475,253.399999,8.199395,20.777266,95.045708,245.045708,0.144063,3
38,25,1,404,715.800001,247,504,6,93,331.670806,8.715193,1.771782,2.040486,15.5,657,1312.800001,1.998174,1644.470807,112.800001,7.726234,8.715192,108.216434,258.216434,0.157021,4
27,29.533333,8,572,1252.200001,116,270.9,9,48,221.75517,33.343729,2.189161,2.335345,5.333333,697,1571.100001,2.254089,1792.855171,371.100001,8.985106,33.343728,99.870279,249.870279,0.13937,3
50,51.333333,2,697,1129.2,38,428.1,1,14.4,392.680287,31.937538,1.620086,11.265789,14.4,736,1571.7,2.135462,1964.380287,371.7,8.592289,31.937537,149.741623,299.741623,0.152588,3
28,26.466667,1,659,1175.4,86,317.100001,8,65.4,493.741666,31.396369,1.783612,3.687209,8.175,753,1557.900001,2.068924,2051.641667,357.900001,8.772386,31.396369,179.518869,329.518869,0.160612,3
47,17.4,0,446,996,148,372,32,57,341.619037,19.113158,2.233184,2.513514,1.78125,626,1425,2.276358,1766.619037,225,8.494737,19.113158,121.598869,271.598869,0.153739,3
37,50.633333,1,557,904.800001,330,552.899999,7,15,383.221622,22.012096,1.624417,1.675455,2.142857,894,1472.7,1.647315,1855.921622,272.7,8.071909,22.012095,136.978582,286.978582,0.154629,3
36,36.466667,2,405,907.2,34,345.9,36,96,299.428807,12.468103,2.24,10.173529,2.666667,475,1349.1,2.840211,1648.528807,149.1,8.362241,12.468102,102.296744,252.296744,0.153044,4
32,24.133333,2,536,1202.399999,95,211.800001,50,103.500001,379.23417,28.469914,2.243284,2.229474,2.07,681,1517.700001,2.228634,1896.934171,317.700001,8.961257,28.469914,142.240165,292.240165,0.154059,3
31,44.033333,0,380,853.800001,214,372.900001,39,125.5,220.995156,12.415071,2.246842,1.742523,3.217949,633,1352.200002,2.136177,1573.195158,152.200002,8.157077,12.415072,78.713619,228.713619,0.145382,4
26,16.333333,0,542,1230,149,250.8,9,78,325.248635,32.095889,2.269373,1.683221,8.666667,700,1558.8,2.226857,1884.048635,358.8,8.945343,32.095889,129.67048,279.67048,0.148441,3
45,33.233333,1,412,939,175,324.900001,60,106.2,352.963719,14.333914,2.279126,1.856571,1.77,647,1370.100001,2.11762,1723.06372,170.100001,8.426757,14.333914,120.22303,270.22303,0.156827,4
37,37.5,0,570,929.4,123,417.3,24,62.5,278.067883,17.358614,1.630526,3.392683,2.604167,717,1409.2,1.965411,1687.267883,209.2,8.297616,17.358612,100.778977,250.778977,0.14863,3
27,39.233333,2,775,1165.2,19,388.2,4,26,374.27543,32.965089,1.503484,20.431579,6.5,798,1579.4,1.979198,1953.67543,379.4,8.688743,32.965089,145.247718,295.247718,0.151124,3
51,37.2,1,278,643.199999,225,588,19,38,244.077073,5.213445,2.313669,2.613333,2,522,1269.199999,2.431418,1513.277072,69.199999,7.53388,5.213445,78.436567,228.436567,0.150955,4
35,48.7,0,491,764.4,119,590.1,13,25.799999,317.780301,14.007441,1.556823,4.958824,1.984615,623,1380.299999,2.21557,1698.0803,180.299999,7.768963,14.007441,109.341531,259.341531,0.152726,3
27,44.8,1,493,946.2,78,522,2,8.5,271.443843,22.699819,1.91927,6.692308,4.25,573,1476.7,2.577138,1748.143843,276.7,8.203765,22.699818,104.132971,254.132971,0.145373,3
32,51.133333,1,525,1227.599999,39,286.5,7,41,225.495206,31.770843,2.338286,7.346154,5.857143,571,1555.099999,2.723468,1780.595205,355.099999,8.947013,31.770843,99.419405,249.419405,0.140076,3
43,47.566667,2,476,797.400001,71,480.9,2,62.4,355.638704,11.219164,1.67521,6.773239,31.2,549,1340.700001,2.442077,1696.338705,140.700001,7.97382,11.219164,117.910776,267.910776,0.157935,3
31,30.166667,0,483,881.400001,92,500.7,20,30.599999,262.75263,17.2703,1.824845,5.442391,1.53,595,1412.7,2.374286,1675.45263,212.7,8.119558,17.2703,96.096089,246.096089,0.146883,3
56,53.033333,4,446,817.800001,141,363.3,67,125.400001,318.526829,8.658168,1.833632,2.576596,1.871642,654,1306.500002,1.997706,1625.026831,106.500002,8.129736,8.658169,104.216218,254.216218,0.156438,4
48,19.733333,1,588,1410.599999,104,261.9,6,14.400001,469.09942,44.702494,2.39898,2.518269,2.4,698,1686.9,2.416762,2155.99942,486.9,9.181042,44.702494,185.43232,335.43232,0.155581,3
41,16.5,0,806,1325.4,142,285,9,47.500002,268.719481,41.198296,1.644417,2.007042,5.277778,957,1657.900002,1.732393,1926.619483,457.900002,8.997225,41.198295,121.81414,271.81414,0.141083,3
39,16.366667,2,683,1258.8,134,299.7,9,45.6,387.689239,36.060655,1.843045,2.236567,5.066667,826,1604.1,1.94201,1991.789239,404.1,8.923696,36.060654,152.367425,302.367425,0.151807,3
36,36.766667,2,261,627,170,547.799999,37,71.499999,188.249228,3.479652,2.402299,3.222353,1.932432,468,1246.299998,2.663034,1434.549226,46.299998,7.515446,3.479651,59.95442,209.95442,0.146356,4
33,34.366667,0,545,1310.4,189,307.2,4,27,381.378739,39.942629,2.404404,1.625397,6.75,738,1644.6,2.228455,2025.978739,444.6,8.983947,39.94263,154.356252,304.356252,0.150227,3
33,43.266667,0,602,994.2,118,501.599999,2,21,324.336992,26.222468,1.651495,4.250847,10.5,722,1516.799999,2.100831,1841.136991,316.799999,8.277294,26.222468,123.523566,273.523566,0.148562,3
37,49.8,2,643,1195.2,67,294.900001,32,73.2,306.208231,32.052806,1.858787,4.401493,2.2875,742,1563.300001,2.106873,1869.508232,363.300001,8.822683,32.052807,123.915276,273.915276,0.146517,3
50,27.366667,6,271,669.6,147,448.8,35,112.8,335.395382,2.408421,2.470849,3.053061,3.222857,453,1231.2,2.717881,1566.595382,31.2,7.719298,2.408421,103.027036,253.027036,0.161514,4
29,47.266667,5,724,1109.4,171,291,31,106,369.113651,26.602535,1.53232,1.701754,3.419355,926,1506.4,1.626782,1875.513651,306.4,8.682289,26.602533,137.336628,287.336628,0.153204,3
58,41.8,11,756,1183.2,76,333.300001,6,65,276.261474,33.345971,1.565079,4.385526,10.833333,838,1581.500001,1.887232,1857.761475,381.500001,8.740752,33.345971,116.224413,266.224413,0.143304,3
